Address ZIP,License Type,DCA License Number
10001,Business,487
10001,Individual,101
10002,Business,404
10002,Individual,130
10003,Business,445
10003,Individual,72
10004,Business,79
10004,Individual,11
10005,Business,64
10005,Individual,7
10006,Business,34
10006,Individual,5
10007,Business,121
10007,Individual,11
10008,Individual,1
10009,Business,218
10009,Individual,63
10010,Business,258
10010,Individual,47
10011,Business,402
10011,Individual,84
10012,Business,209
10012,Individual,40
10013,Business,416
10013,Individual,46
10014,Business,288
10014,Individual,44
10016,Business,399
10016,Individual,60
10017,Business,242
10017,Individual,153
10018,Business,321
10018,Individual,31
10019,Business,482
10019,Individual,76
10020,Business,38
10020,Individual,29
10021,Business,271
10021,Individual,75
10022,Business,399
10022,Individual,54
10023,Business,248
10023,Individual,64
10024,Business,299
10024,Individual,66
10025,Business,317
10025,Individual,107
10026,Business,118
10026,Individual,134
10027,Business,230
10027,Individual,120
10028,Business,274
10028,Individual,42
10029,Business,294
10029,Individual,145
10030,Business,68
10030,Individual,98
10031,Business,203
10031,Individual,103
10032,Business,182
10032,Individual,67
10033,Business,227
10033,Individual,59
10034,Business,171
10034,Individual,43
10035,Business,152
10035,Individual,72
10036,Business,592
10036,Individual,68
10037,Business,47
10037,Individual,41
10038,Business,149
10038,Individual,36
10039,Business,69
10039,Individual,60
10040,Business,145
10040,Individual,36
10041,Business,3
10044,Business,10
10044,Individual,8
10055,Business,1
10065,Business,242
10065,Individual,25
10069,Business,11
10069,Individual,8
10075,Business,173
10075,Individual,49
10080,Business,1
10101,Individual,9
10103,Business,3
10105,Business,3
10106,Business,3
10107,Business,4
10108,Business,1
10108,Individual,3
10112,Business,9
10116,Individual,13
10118,Business,7
10119,Business,13
10120,Business,3
10120,Individual,1
10121,Business,2
10122,Business,1
10122,Individual,1
10123,Business,8
10128,Business,268
10128,Individual,71
10150,Individual,2
10151,Business,3
10151,Individual,1
10152,Business,1
10152,Individual,1
10153,Business,5
10154,Business,2
10155,Business,10
10155,Individual,2
10156,Business,1
10156,Individual,2
10158,Business,1
10159,Individual,3
10162,Business,3
10162,Individual,2
10163,Individual,9
10165,Business,5
10166,Business,5
10167,Business,1
10168,Business,4
10168,Individual,1
10169,Business,1
10170,Business,7
10170,Individual,1
10171,Business,2
10171,Individual,1
10172,Business,2
10173,Business,2
10174,Business,3
10175,Business,2
10176,Business,1
10178,Business,2
10185,Business,1
10185,Individual,2
10271,Business,2
10276,Individual,1
10279,Business,5
10279,Individual,1
10280,Business,25
10280,Individual,8
10281,Business,4
10282,Business,17
10282,Individual,2
10301,Business,191
10301,Individual,141
10302,Business,166
10302,Individual,88
10303,Business,157
10303,Individual,93
10304,Business,175
10304,Individual,169
10305,Business,300
10305,Individual,208
10306,Business,305
10306,Individual,268
10307,Business,85
10307,Individual,92
10308,Business,105
10308,Individual,107
10309,Business,246
10309,Individual,163
10310,Business,230
10310,Individual,101
10311,Business,1
10312,Business,253
10312,Individual,285
10313,Business,1
10313,Individual,1
10314,Business,451
10314,Individual,389
10451,Business,240
10451,Individual,58
10452,Business,334
10452,Individual,126
10453,Business,298
10453,Individual,138
10454,Business,155
10454,Individual,63
10455,Business,229
10455,Individual,72
10456,Business,258
10456,Individual,172
10457,Business,320
10457,Individual,123
10458,Business,389
10458,Individual,136
10459,Business,222
10459,Individual,88
10460,Business,203
10460,Individual,105
10461,Business,344
10461,Individual,155
10462,Business,370
10462,Individual,185
10463,Business,238
10463,Individual,108
10464,Business,24
10464,Individual,19
10465,Business,141
10465,Individual,139
10466,Business,233
10466,Individual,118
10467,Business,379
10467,Individual,196
10468,Business,253
10468,Individual,107
10469,Business,289
10469,Individual,208
10470,Business,80
10470,Individual,45
10471,Business,56
10471,Individual,50
10472,Business,265
10472,Individual,152
10473,Business,113
10473,Individual,118
10474,Business,127
10474,Individual,19
10475,Business,119
10475,Individual,59
10501,Business,2
10501,Individual,2
10502,Business,5
10502,Individual,6
10504,Business,8
10504,Individual,15
10505,Individual,1
10506,Business,6
10506,Individual,8
10507,Business,3
10507,Individual,3
10509,Business,8
10509,Individual,9
10510,Business,6
10510,Individual,6
10511,Individual,1
10512,Business,7
10512,Individual,19
10514,Business,5
10514,Individual,6
10516,Business,4
10516,Individual,5
10517,Business,1
10517,Individual,1
10520,Business,3
10520,Individual,8
10522,Business,6
10522,Individual,12
10523,Business,12
10523,Individual,10
10524,Individual,2
10526,Individual,2
10528,Business,12
10528,Individual,18
10530,Business,10
10530,Individual,13
10532,Business,5
10532,Individual,8
10533,Business,4
10533,Individual,4
10535,Individual,1
10536,Business,7
10536,Individual,12
10537,Business,1
10537,Individual,4
10538,Business,6
10538,Individual,10
10540,Individual,1
10541,Business,20
10541,Individual,44
10542,Individual,1
10543,Business,12
10543,Individual,17
10546,Individual,2
10547,Business,4
10547,Individual,6
10548,Business,2
10548,Individual,2
10549,Business,6
10549,Individual,9
10550,Business,50
10550,Individual,66
10551,Individual,1
10552,Business,13
10552,Individual,25
10553,Business,11
10553,Individual,8
10560,Business,2
10560,Individual,3
10562,Business,8
10562,Individual,15
10566,Business,9
10566,Individual,11
10567,Business,7
10567,Individual,13
10570,Business,10
10570,Individual,10
10573,Business,16
10573,Individual,27
10576,Business,3
10576,Individual,8
10577,Business,1
10577,Individual,1
10579,Business,18
10579,Individual,11
10580,Business,4
10580,Individual,7
10583,Business,23
10583,Individual,45
10587,Individual,1
10588,Business,2
10588,Individual,2
10589,Business,7
10589,Individual,3
10590,Business,2
10590,Individual,5
10591,Business,10
10591,Individual,10
10594,Business,6
10594,Individual,6
10595,Business,11
10595,Individual,6
10596,Individual,1
10598,Business,18
10598,Individual,32
10601,Business,8
10601,Individual,7
10602,Individual,1
10603,Business,15
10603,Individual,9
10604,Business,15
10604,Individual,3
10605,Business,4
10605,Individual,10
10606,Business,3
10606,Individual,8
10607,Business,9
10607,Individual,9
10701,Business,48
10701,Individual,66
10702,Individual,3
10703,Business,16
10703,Individual,25
10704,Business,96
10704,Individual,116
10705,Business,31
10705,Individual,47
10706,Business,6
10706,Individual,9
10707,Business,13
10707,Individual,24
