,Address ZIP,Address City,DCA License Number,License Type,License Expiration Date
1,10018,NEW YORK,2058710-DCA,Business,02/28/2019
2,10460,BRONX,2054939-DCA,Business,02/28/2019
3,11221,BROOKLYN,1400877-DCA,Business,07/31/2019
4,10065,NEW YORK,1139713-DCA,Business,03/15/2018
5,10011,NEW YORK,1215847-DCA,Business,12/31/2017
6,10002,NEW YORK,1420107-DCA,Business,03/15/2019
7,10036,NEW YORK,2060277-DCA,Business,12/31/2019
8,10001,NEW YORK,1177337-DCA,Individual,02/28/2019
9,11366,FRESH MEADOWS,1215364-DCA,Business,12/31/2017
10,11004,GLEN OAKS,1120766-DCA,Individual,02/28/2019
11,11222,BROOKLYN,2040685-DCA,Business,02/28/2019
12,11784,SELDEN,1311289-DCA,Individual,02/28/2019
13,10306,STATEN ISLAND,2047787-DCA,Business,02/28/2019
14,10001,NEW YORK,2041268-DCA,Individual,07/31/2018
15,11691,FAR ROCKAWAY,2058192-DCA,Individual,09/30/2018
16,11237,BROOKLYN,2059665-DCA,Individual,10/31/2018
17,11378,MASPETH,1243660-DCA,Individual,02/28/2019
18,11416,OZONE PARK,1359567-DCA,Individual,02/28/2019
19,11218,BROOKLYN,0760525-DCA,Business,07/31/2019
20,10472,BRONX,2026024-DCA,Individual,10/31/2018
21,11040,NEW HYDE PARK,1474984-DCA,Individual,05/31/2019
22,11413,SPRINGFIELD GARDENS,2027849-DCA,Business,07/31/2019
23,11379,MIDDLE VILLAGE,1277244-DCA,Business,02/28/2019
24,10314,STATEN ISLAND,2021681-DCA,Business,03/15/2018
25,11214,BROOKLYN,1214460-DCA,Business,02/28/2019
26,10036,NEW YORK,1474982-DCA,Business,07/31/2019
27,10454,BRONX,2024392-DCA,Business,06/30/2018
28,11228,BROOKLYN,1129534-DCA,Individual,02/28/2019
29,11101,LONG ISLAND CITY,1214422-DCA,Business,02/28/2019
30,11218,BROOKLYN,2029984-2-DCA,Business,12/31/2018
31,10128,NEW YORK,1386179-DCA,Business,12/31/2017
32,10591,TARRYTOWN,2053305-DCA,Individual,02/28/2019
33,11580,VALLEY STREAM,2047435-DCA,Individual,10/31/2018
34,10314,STATEN ISLAND,1362076-DCA,Business,07/31/2019
35,11218,BROOKLYN,1343245-DCA,Individual,02/28/2019
36,10456,BRONX,2028680-DCA,Business,12/31/2018
37,11106,ASTORIA,2059195-2-DCA,Business,12/31/2018
38,10465,BRONX,1451463-DCA,Individual,02/28/2019
39,10014,NEW YORK,1273537-DCA,Business,12/31/2018
