,max_type,VIOLATION_rate,avg_house_rent_price,mus_count15,mus_count5,res_max_type,population,avg_house_sell_price,univ_count5,Y
10026,2,0.13922155688622753,3032.9857142857145,141.0,141.0,24,34003.0,763595.2941176471,17.0,0
11231,2,0.08943781942078365,2687.5,36.0,36.0,25,33336.0,868091.7647058824,1.0,0
10302,2,0.1920265780730897,1971.7428571428572,72.0,72.0,18,19088.0,331512.9411764706,3.0,1
11212,2,0.17058239576439443,1875.0285714285715,15.0,15.0,18,84500.0,308743.5294117647,0.0,1
11372,2,0.13916876574307305,2010.9714285714285,26.0,26.0,22,66636.0,0.0,2.0,0
10473,2,0.15847913862718707,1710.0,0.0,0.0,18,58519.0,313528.23529411765,0.0,1
11102,2,0.18253968253968253,2175.114285714286,61.0,61.0,18,34133.0,0.0,0.0,1
11451,2,0.16469428007889547,0.0,15.0,15.0,0,0.0,0.0,6.0,1
11419,2,0.17733333333333334,1922.0285714285715,12.0,12.0,24,47211.0,386122.35294117645,0.0,1
10018,2,0.09411050394656952,0.0,94.0,94.0,25,5229.0,0.0,7.0,0
11232,2,0.11786372007366483,2069.4285714285716,49.0,49.0,25,28265.0,418497.64705882355,0.0,0
11377,2,0.17116125481563016,2092.1857142857143,22.0,22.0,22,89830.0,342007.0588235294,0.0,1
11405,2,0.11248454882571075,0.0,6.0,6.0,9,0.0,0.0,0.0,0
10009,2,0.1237873496313543,3619.4,95.0,95.0,25,61347.0,0.0,7.0,0
10040,2,0.12516644474034622,0.0,99.0,99.0,21,41905.0,0.0,4.0,0
10452,2,0.13370584713630013,0.0,87.0,87.0,18,75371.0,0.0,3.0,0
10461,2,0.17995337995337995,1688.642857142857,9.0,9.0,22,50502.0,0.0,0.0,1
11202,2,0.170790878214459,0.0,32.0,32.0,9,0.0,0.0,7.0,1
11423,2,0.1543859649122807,2029.9,0.0,0.0,13,29987.0,423100.0,0.0,1
11371,2,0.178,0.0,26.0,26.0,14,0.0,0.0,3.0,1
10470,2,0.12890625,1698.0142857142857,59.0,59.0,18,15293.0,376949.4117647059,3.0,0
11222,2,0.14001284521515736,2599.4142857142856,32.0,32.0,25,36934.0,743911.7647058824,5.0,0
11208,2,0.15401736033830402,1993.642857142857,0.0,0.0,18,94469.0,332115.29411764705,0.0,1
10033,2,0.1410377358490566,2288.285714285714,114.0,114.0,24,53926.0,0.0,5.0,0
10029,2,0.1423712342079689,2835.457142857143,109.0,109.0,24,76003.0,0.0,2.0,0
11428,2,0.16790490341753342,2070.042857142857,9.0,9.0,21,19168.0,408336.4705882353,0.0,1
10306,2,0.26495176848874596,2079.1714285714284,59.0,59.0,25,55909.0,406924.70588235295,4.0,1
10459,2,0.15620407306319548,1703.3714285714286,7.0,7.0,18,47308.0,294528.23529411765,0.0,1
10457,2,0.15117633356627067,1672.4142857142858,69.0,69.0,18,70496.0,312730.5882352941,8.0,1
11106,2,0.16621803499327054,2170.2571428571428,74.0,74.0,22,38875.0,0.0,2.0,1
11691,2,0.1759809750297265,1875.442857142857,0.0,0.0,21,60035.0,364974.1176470588,0.0,1
11220,2,0.1083223249669749,2001.4571428571428,61.0,61.0,25,99598.0,0.0,0.0,0
11226,2,0.15794718485301446,1952.4571428571428,43.0,43.0,24,101572.0,453584.70588235295,2.0,1
10072,2,0.08708094848732624,0.0,208.0,208.0,9,0.0,0.0,14.0,0
10019,2,0.1311163895486936,3675.6714285714284,81.0,81.0,25,42870.0,0.0,15.0,0
11432,2,0.16398037841625787,2022.7142857142858,11.0,11.0,24,60809.0,528256.4705882353,9.0,1
10465,2,0.20816326530612245,1721.9714285714285,2.0,2.0,21,42230.0,0.0,0.0,1
11369,2,0.14973614775725594,2076.0142857142855,19.0,19.0,20,38615.0,488924.70588235295,4.0,1
11234,2,0.14865550481988837,1915.5142857142857,0.0,0.0,25,87757.0,454696.4705882353,0.0,1
11210,2,0.13512396694214876,1942.1857142857143,6.0,6.0,24,62008.0,547475.2941176471,5.0,0
10028,2,0.11851447296559257,3273.542857142857,185.0,185.0,23,45141.0,0.0,4.0,0
