zipcode,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09
10025,736500.0,746000.0,756900.0,767300.0,771800.0,770900.0,768200.0,762100.0,751200.0,741200.0,735000.0,732500.0,735100.0,743800.0,746200.0,739800.0,737200.0,743000.0,747800.0,754700.0,767300.0,777700.0,781600.0,778700.0,774600.0,770300.0,767400.0,772400.0,786300.0,798700.0,806200.0,810800.0,815100.0,821500.0,822600.0,822100.0,825900.0,834900.0,841700.0,848600.0,858100.0,869800,882400,890900,888900,883100,885900,894900,907900,923700,932800,932600,933600,937700,936100,933200.0,937900,945300,954600,973000,997100.0,1007300.0,1009300,1015800,1026100,1045700.0,1066300.0,1069500.0,1065900.0,1075700,1092400,1108900,1115800,1117800,1132900,1134900.0,1118800,1108500,1110700,1128700,1174700,1236300,1281400,1290800,1282300
11226,359700.0,359400.0,362600.0,362900.0,361100.0,360700.0,361500.0,360500.0,359700.0,361200.0,363200.0,367300.0,370800.0,369700.0,366300.0,362300.0,356800.0,355000.0,357600.0,362400.0,367000.0,370900.0,371900.0,372600.0,374900.0,375600.0,373700.0,375900.0,381800.0,382900.0,381900.0,381500.0,380300.0,382400.0,391400.0,399800.0,401000.0,401500.0,404100.0,408500.0,411600.0,411500,409100,410300,412200,413000,415600,422500,428800,434700,442000,450400,460600,476300,492200,502900.0,508100,509400,507100,504500,510300.0,523000.0,529100,528100,531000,535400.0,537500.0,539400.0,547000.0,557400,566100,574200,584200,594800,604700,610900.0,611000,614200,625200,639700,649800,650700,646500,648100,653300
10016,660300.0,662100.0,664000.0,666400.0,665100.0,662800.0,662300.0,663000.0,664500.0,663100.0,657000.0,654000.0,658700.0,665800.0,667900.0,666500.0,668300.0,670000.0,670300.0,675900.0,680500.0,683200.0,685900.0,687200.0,685400.0,685200.0,685800.0,688500.0,692400.0,701900.0,709900.0,704800.0,695600.0,696900.0,705800.0,715200.0,719200.0,722000.0,730500.0,744900.0,760000.0,770100,771800,772100,777900,781100,778300,772100,768100,769100,778100,789000,799900,805100,806800,813500.0,828300,840400,856700,872900,885400.0,893300.0,896700,896200,895300,894200.0,891100.0,888800.0,885400.0,884900,884800,898000,917600,929800,932400,932400.0,933700,941800,953900,968900,1000400,1053500,1102000,1109100,1097700
11235,377000.0,378500.0,381300.0,385100.0,389700.0,393200.0,394300.0,394100.0,391600.0,393600.0,400100.0,404900.0,406400.0,408300.0,407600.0,403700.0,401700.0,404000.0,405000.0,401900.0,396900.0,392300.0,389600.0,389500.0,389700.0,388500.0,386700.0,387500.0,390800.0,391900.0,390800.0,391300.0,393400.0,395300.0,399400.0,405400.0,410800.0,413500.0,412800.0,410400.0,408200.0,407800,409900,412500,414000,414200,413000,410600,407800,403400,402300,406600,412000,413600,416000,419600.0,423200,425000,427000,429100,432900.0,436900.0,439000,442600,448500,454100.0,460300.0,467500.0,469200.0,466800,465000,466700,471900,478000,482600,486300.0,489800,491200,490900,494700,508200,529800,546400,555100,561900
10128,795700.0,794900.0,793900.0,798500.0,806500.0,810300.0,809400.0,810500.0,810200.0,808000.0,809000.0,817300.0,820000.0,819300.0,821000.0,824400.0,824200.0,823700.0,823500.0,822600.0,813400.0,798700.0,787800.0,789200.0,797900.0,807900.0,807200.0,805500.0,812600.0,821500.0,820800.0,819500.0,819400.0,820200.0,822800.0,826900.0,837100.0,847600.0,855500.0,857300.0,859000.0,856400,858000,865900,871500,856500,843900,845100,853400,863400,874300,867900,861100,868100,879300,882400.0,896800,918600,939400,957100,964700.0,958900.0,956800,962900,966700,972700.0,978100.0,978800.0,986000.0,1014500,1045000,1056400,1053700,1056900,1071300,1090600.0,1111400,1132400,1166800,1217600,1264300,1300000,1337800,1374200,1402200
10456,287200.0,289900.0,294500.0,293900.0,288100.0,283300.0,283100.0,282400.0,280900.0,280800.0,281200.0,280800.0,280200.0,279700.0,278900.0,276500.0,272500.0,269500.0,269200.0,270800.0,273100.0,272600.0,269500.0,266700.0,264100.0,261900.0,262100.0,262200.0,260000.0,258600.0,259500.0,262000.0,264200.0,264400.0,263700.0,264700.0,266800.0,267200.0,263900.0,261100.0,260400.0,261100,262100,262500,261300,261100,262200,262300,263700,268100,273100,273600,271900,272600,276100,278300.0,279700,282300,285200,286700,287700.0,290000.0,293400,295600,298100,300200.0,302200.0,304400.0,308700.0,311400,312400,313500,316400,319800,323500,323800.0,322600,325900,331800,335000,336300,336500,337500,340500,343600
10463,472500.0,468700.0,462800.0,449000.0,434500.0,425900.0,422900.0,425400.0,427600.0,425000.0,428300.0,435300.0,435900.0,431700.0,432300.0,431300.0,428200.0,423500.0,422300.0,415600.0,401600.0,386500.0,378800.0,377500.0,376600.0,367400.0,357900.0,355900.0,351300.0,346400.0,347300.0,353000.0,358900.0,363700.0,362600.0,360400.0,363200.0,370100.0,369700.0,369000.0,375200.0,384500,388500,382200,369900,371700,376800,367300,354800,352800,356200,360200,363800,367800,369800,371300.0,376600,381800,381500,378300,379600.0,381400.0,378000,376900,385700,394700.0,400600.0,406800.0,413000.0,417700,425400,439500,452500,457700,460800,463900.0,464700,466400,467300,468200,476600,484800,484200,484600,489200
11206,369100.0,365200.0,369500.0,373000.0,373800.0,377400.0,381000.0,380500.0,383300.0,391500.0,403500.0,417600.0,432000.0,441700.0,447200.0,445300.0,437300.0,430900.0,429100.0,427900.0,421200.0,410500.0,398800.0,391800.0,391200.0,393400.0,396000.0,401200.0,406400.0,406500.0,406000.0,410300.0,420300.0,433100.0,447000.0,457300.0,461000.0,460600.0,455700.0,444900.0,442200.0,452600,466500,476400,483700,491700,501100,506200,509600,516100,522700,528500,531800,532300,533500,534400.0,531900,528700,527600,529000,535400.0,545400.0,554500,559500,561700,559800.0,556800.0,552100.0,545800.0,539000,533900,533600,540900,551200,557100,559100.0,563900,571600,580100,592000,611800,633400,647300,661400,678800
11230,525100.0,523800.0,526500.0,530700.0,533400.0,535700.0,536400.0,536700.0,538500.0,542000.0,544400.0,548000.0,548800.0,545000.0,538800.0,531500.0,523700.0,520900.0,520300.0,519500.0,518900.0,519200.0,520900.0,523200.0,526500.0,530000.0,530700.0,530300.0,532900.0,536000.0,539600.0,545000.0,549000.0,549400.0,550700.0,556400.0,565700.0,573700.0,580200.0,588500.0,599200.0,606400,607400,609000,617400,630800,639300,640200,637400,638500,644700,652500,659500,668500,679500,687500.0,694100,702400,711600,715700,721100.0,728400.0,733900,739300,746200,748600.0,751300.0,756000.0,757400.0,760100,765800,772500,781100,792600,802900,811500.0,818700,822900,827100,833700,839200,836900,834700,839300,846200
11209,457000.0,462000.0,468200.0,470900.0,474100.0,479400.0,484900.0,488500.0,492600.0,500700.0,508200.0,511600.0,511300.0,508000.0,499700.0,491000.0,484200.0,484800.0,490500.0,494600.0,494400.0,494800.0,495000.0,494200.0,495100.0,497300.0,498300.0,498700.0,501100.0,504200.0,508000.0,513500.0,520000.0,523200.0,525600.0,531200.0,539900.0,546900.0,548600.0,543000.0,539900.0,541700,544000,543300,547600,555500,556600,551200,543900,539000,537300,541200,548600,559100,563600,560500.0,553700,548300,547700,551200,559800.0,569100.0,573500,576300,580900,579000.0,581100.0,593100.0,604100.0,607200,609800,616000,630400,649200,667100,676100.0,675100,671000,675600,686400,705000,737600,778000,804800,819300
