,population,zipcode,geo_id
376,1403,12917,8600000US12917
1043,250,14874,8600000US14874
1574,17823,11362,8600000US11362
2960,40730,14701,8600000US14701
3493,3310,13754,8600000US13754
4074,526,13313,8600000US13313
8705,31959,10014,8600000US10014
9101,1325,14418,8600000US14418
9981,1874,12729,8600000US12729
10903,0,10279,8600000US10279
11712,3304,11935,8600000US11935
11944,1363,12166,8600000US12166
13206,4752,11715,8600000US11715
14594,908,10527,8600000US10527
16211,3528,12809,8600000US12809
18041,0,10168,8600000US10168
18641,3385,12404,8600000US12404
19487,673,12412,8600000US12412
20727,2438,12167,8600000US12167
20900,19148,11501,8600000US11501
21433,22666,11563,8600000US11563
21495,26034,11553,8600000US11553
21616,2410,12921,8600000US12921
22141,6988,10007,8600000US10007
22161,20702,12208,8600000US12208
22279,1486,12592,8600000US12592
22508,9070,14905,8600000US14905
25479,11299,13617,8600000US13617
25524,16499,10606,8600000US10606
27057,1166,12842,8600000US12842
28158,11323,13323,8600000US13323
28555,4164,13456,8600000US13456
30528,45768,11590,8600000US11590
31343,632,12923,8600000US12923
34345,36915,12866,8600000US12866
34678,2859,12529,8600000US12529
35614,9448,12828,8600000US12828
35887,3326,11954,8600000US11954
36029,786,12732,8600000US12732
36504,181,12742,8600000US12742
39250,3601,12531,8600000US12531
44531,93386,11207,8600000US11207
44892,802,12035,8600000US12035
46163,10901,13619,8600000US13619
46369,31521,10956,8600000US10956
48837,399,13664,8600000US13664
49754,31796,10562,8600000US10562
50290,3,10103,8600000US10103
51081,2315,13363,8600000US13363
51253,1888,13843,8600000US13843
53104,2094,14744,8600000US14744
53221,6489,12222,8600000US12222
55094,12268,14608,8600000US14608
55681,451,13468,8600000US13468
56995,7135,10005,8600000US10005
57640,385,12849,8600000US12849
59235,21482,12304,8600000US12304
59275,482,12760,8600000US12760
61511,929,12022,8600000US12022
63594,882,13665,8600000US13665
64015,1023,10931,8600000US10931
64070,4629,14433,8600000US14433
64174,8176,11559,8600000US11559
65750,83,13845,8600000US13845
68599,1770,12853,8600000US12853
69107,3512,13655,8600000US13655
70357,60745,11717,8600000US11717
71058,22156,13088,8600000US13088
71106,459,12943,8600000US12943
71838,87,13696,8600000US13696
72121,536,12470,8600000US12470
76497,4851,12498,8600000US12498
77558,36296,14624,8600000US14624
77727,1537,14550,8600000US14550
78687,6292,11721,8600000US11721
78744,1494,12548,8600000US12548
80038,7263,11934,8600000US11934
80804,41905,10040,8600000US10040
81259,574,12836,8600000US12836
83819,5117,10594,8600000US10594
84017,4569,12148,8600000US12148
84728,234,14475,8600000US14475
85767,7406,11507,8600000US11507
87170,743,11957,8600000US11957
87374,749,14588,8600000US14588
87858,17729,11021,8600000US11021
89820,494,11962,8600000US11962
90407,23045,10954,8600000US10954
91477,89830,11377,8600000US11377
92007,11946,10514,8600000US10514
92651,6732,14070,8600000US14070
92838,1097,12423,8600000US12423
94612,1073,12087,8600000US12087
96949,108,13436,8600000US13436
98494,2780,11548,8600000US11548
98805,2246,10511,8600000US10511
99543,49,13623,8600000US13623
101032,1701,14504,8600000US14504
102500,77,12841,8600000US12841
102576,14573,11949,8600000US11949
103183,763,12457,8600000US12457
103450,16638,10549,8600000US10549
104351,9822,14011,8600000US14011
104728,10387,14625,8600000US14625
105411,1590,13335,8600000US13335
105649,3882,12027,8600000US12027
107603,13120,10924,8600000US10924
109380,8275,14482,8600000US14482
111322,5201,14036,8600000US14036
111872,8344,11096,8600000US11096
112733,36256,11418,8600000US11418
112794,4429,13460,8600000US13460
113378,4539,10925,8600000US10925
115017,3911,14202,8600000US14202
116061,6309,12158,8600000US12158
118719,265,12975,8600000US12975
119058,2903,14739,8600000US14739
119757,1623,12993,8600000US12993
120137,23593,11427,8600000US11427
120726,23480,14217,8600000US14217
122911,34496,11710,8600000US11710
123276,7524,14464,8600000US14464
124753,3625,13308,8600000US13308
125629,1644,12521,8600000US12521
126433,6602,12428,8600000US12428
126465,26999,10030,8600000US10030
127231,10480,11596,8600000US11596
128793,7896,12159,8600000US12159
129184,42810,12603,8600000US12603
129332,539,10517,8600000US10517
131386,824,13361,8600000US13361
131398,6594,12834,8600000US12834
132027,211,14732,8600000US14732
135123,3418,12075,8600000US12075
135201,5015,13053,8600000US13053
135626,1079,14091,8600000US14091
136154,1398,13801,8600000US13801
136303,28255,14606,8600000US14606
138273,1714,12747,8600000US12747
139439,189,13331,8600000US13331
140114,397,12410,8600000US12410
140299,2338,13736,8600000US13736
140936,627,12810,8600000US12810
142249,3789,13438,8600000US13438
142358,189,12115,8600000US12115
142965,11536,14219,8600000US14219
143248,58519,10473,8600000US10473
143446,1679,12137,8600000US12137
145933,151,14169,8600000US14169
146441,5061,12446,8600000US12446
147594,1674,12451,8600000US12451
147647,25636,12306,8600000US12306
149132,8891,13224,8600000US13224
149198,0,11359,8600000US11359
150124,1487,12565,8600000US12565
151219,19775,14214,8600000US14214
151956,10093,13350,8600000US13350
152558,4401,12833,8600000US12833
153356,5283,14131,8600000US14131
154317,40782,11040,8600000US11040
154375,2274,12817,8600000US12817
155601,6356,13114,8600000US13114
158406,9621,10992,8600000US10992
161733,426,14082,8600000US14082
162989,205,12939,8600000US12939
167500,2380,14817,8600000US14817
168275,5713,14261,8600000US14261
168977,520,11042,8600000US11042
169006,349,14061,8600000US14061
169128,0,10115,8600000US10115
169288,5010,11804,8600000US11804
169708,2607,14865,8600000US14865
170886,184,11430,8600000US11430
172351,39999,14215,8600000US14215
173148,178,12745,8600000US12745
174041,58,13826,8600000US13826
174799,658,13489,8600000US13489
175465,9565,14522,8600000US14522
176494,534,11965,8600000US11965
176633,1157,12913,8600000US12913
178399,11596,13492,8600000US13492
178629,1199,13807,8600000US13807
178686,937,12746,8600000US12746
181359,6596,13856,8600000US13856
181734,10739,10536,8600000US10536
183013,20301,10703,8600000US10703
184505,2180,12776,8600000US12776
185599,5950,10962,8600000US10962
186405,17329,14052,8600000US14052
186835,10980,12188,8600000US12188
187651,1719,14466,8600000US14466
188312,9027,11023,8600000US11023
189428,3176,13691,8600000US13691
192185,1236,12932,8600000US12932
192349,1733,13024,8600000US13024
195050,495,12493,8600000US12493
195941,31192,12020,8600000US12020
196184,1748,14591,8600000US14591
196932,9531,11752,8600000US11752
197708,19088,10302,8600000US10302
199364,17949,11436,8600000US11436
199704,1500,12076,8600000US12076
199899,2348,13812,8600000US13812
199954,725,13470,8600000US13470
202344,2362,14012,8600000US14012
203598,2143,12066,8600000US12066
204492,1685,10162,8600000US10162
204742,1153,13303,8600000US13303
205228,25076,11791,8600000US11791
205664,4931,10532,8600000US10532
205686,14511,12771,8600000US12771
209376,38546,13501,8600000US13501
211031,1574,12814,8600000US12814
212320,6277,12186,8600000US12186
212335,22004,13850,8600000US13850
212886,2381,12918,8600000US12918
213064,1174,13122,8600000US13122
214340,2000,14533,8600000US14533
214701,3487,14757,8600000US14757
215898,300,12749,8600000US12749
215994,50587,14580,8600000US14580
216244,1162,12474,8600000US12474
216358,1771,13808,8600000US13808
217349,1224,14614,8600000US14614
217807,17416,10037,8600000US10037
218379,2653,11509,8600000US11509
218547,32098,11735,8600000US11735
219109,42791,11756,8600000US11756
219389,1369,12959,8600000US12959
222322,4129,14541,8600000US14541
223020,3487,10548,8600000US10548
223428,2670,13783,8600000US13783
224315,7109,13029,8600000US13029
224556,2233,12197,8600000US12197
224826,255,13418,8600000US13418
225616,189,13751,8600000US13751
225978,688,13863,8600000US13863
226212,34821,11379,8600000US11379
227280,101,14039,8600000US14039
227699,2037,12185,8600000US12185
227715,0,10153,8600000US10153
228049,4540,10916,8600000US10916
229586,389,12743,8600000US12743
230118,9616,14895,8600000US14895
230202,1974,10986,8600000US10986
230230,3540,14710,8600000US14710
230636,45141,10028,8600000US10028
230933,5184,13159,8600000US13159
231159,1446,12733,8600000US12733
231550,703,14113,8600000US14113
233159,1668,14880,8600000US14880
233987,1631,13775,8600000US13775
235015,26121,10075,8600000US10075
235567,19931,13204,8600000US13204
235860,38912,11413,8600000US11413
237185,25590,10512,8600000US10512
237705,14707,12801,8600000US12801
237908,2220,12859,8600000US12859
238173,588,14126,8600000US14126
238343,3478,14812,8600000US14812
240243,10875,10522,8600000US10522
241616,23773,12078,8600000US12078
241723,2320,14627,8600000US14627
241759,1595,14028,8600000US14028
241798,1020,12464,8600000US12464
241828,10700,11716,8600000US11716
243939,256,12069,8600000US12069
244628,26148,11414,8600000US11414
244654,6622,11963,8600000US11963
244672,24711,10036,8600000US10036
245905,2289,14747,8600000US14747
246556,3256,12117,8600000US12117
249040,2027,13160,8600000US13160
249747,13999,13815,8600000US13815
250769,751,12434,8600000US12434
252849,90117,11211,8600000US11211
253692,78134,11204,8600000US11204
254991,944,12160,8600000US12160
255161,3497,14719,8600000US14719
257418,19929,10567,8600000US10567
258192,10549,11518,8600000US11518
259815,18958,11754,8600000US11754
259959,23821,11010,8600000US11010
259979,4330,14080,8600000US14080
264757,5456,14871,8600000US14871
265048,968,10597,8600000US10597
266232,1798,12523,8600000US12523
266294,877,13682,8600000US13682
266886,605,14872,8600000US14872
268092,94,12784,8600000US12784
269412,4280,13408,8600000US13408
269919,479,13687,8600000US13687
271257,2029,12577,8600000US12577
272296,201,12987,8600000US12987
272827,15567,13104,8600000US13104
272933,153,14722,8600000US14722
272946,150,13020,8600000US13020
273434,5672,14009,8600000US14009
