,zip,latitude,longitude
0,501,40.81,-73.04
1,544,40.81,-73.04
2277,6390,41.27,-71.99
3690,10001,40.75,-74.0
3691,10002,40.71,-73.99
3692,10003,40.73,-73.99
3693,10004,40.69,-74.02
3694,10005,40.71,-74.01
3695,10006,40.71,-74.01
3696,10007,40.71,-74.01
3697,10008,40.71,-73.99
3698,10009,40.73,-73.98
3699,10010,40.74,-73.98
3700,10011,40.74,-74.0
3701,10012,40.73,-74.0
3702,10013,40.72,-74.0
3703,10014,40.73,-74.01
3704,10015,40.71,-74.0
3705,10016,40.75,-73.98
3706,10017,40.75,-73.97
3707,10018,40.76,-73.99
3708,10019,40.77,-73.99
3709,10020,40.76,-73.98
3710,10021,40.77,-73.96
3711,10022,40.76,-73.97
3712,10023,40.78,-73.98
3713,10024,40.8,-73.97
3714,10025,40.8,-73.97
3715,10026,40.8,-73.95
3716,10027,40.81,-73.95
3717,10028,40.78,-73.95
3718,10029,40.79,-73.94
3719,10030,40.82,-73.94
3720,10031,40.83,-73.95
3721,10032,40.84,-73.94
3722,10033,40.85,-73.93
3723,10034,40.87,-73.92
3724,10035,40.8,-73.93
3725,10036,40.76,-73.99
3726,10037,40.81,-73.94
3727,10038,40.71,-74.0
3728,10039,40.83,-73.94
3729,10040,40.86,-73.93
3730,10041,40.71,-73.99
3731,10043,40.71,-73.99
3732,10044,40.76,-73.95
3733,10045,40.71,-73.99
3734,10046,40.71,-74.01
3735,10047,40.71,-74.01
3736,10048,40.71,-74.01
3737,10055,40.71,-73.99
3738,10060,40.71,-73.99
3739,10065,40.76,-73.96
3740,10069,40.78,-73.99
3741,10072,40.75,-73.99
3742,10075,40.77,-73.95
3743,10079,40.71,-74.0
3744,10080,40.71,-73.99
3745,10081,40.71,-73.99
3746,10082,40.77,-73.98
3747,10087,40.71,-73.99
3748,10090,40.71,-73.99
3749,10094,40.71,-74.0
3750,10095,40.71,-73.99
3751,10096,40.71,-74.0
3752,10098,40.75,-73.99
3753,10099,40.71,-74.0
3754,10101,40.71,-73.99
3755,10102,40.71,-73.99
3756,10103,40.76,-73.98
3757,10104,40.71,-73.99
3758,10105,40.71,-73.99
3759,10106,40.71,-73.99
3760,10107,40.71,-73.99
3761,10108,40.71,-73.99
3762,10109,40.71,-73.99
3763,10110,40.75,-73.98
3764,10111,40.76,-73.98
3765,10112,40.76,-73.98
3766,10113,40.71,-73.99
3767,10114,40.71,-73.99
3768,10115,40.81,-73.96
3769,10116,40.71,-73.99
3770,10117,40.71,-73.99
3771,10118,40.71,-73.99
3772,10119,40.75,-73.99
3773,10120,40.71,-73.99
3774,10121,40.71,-73.99
3775,10122,40.71,-73.99
3776,10123,40.71,-73.99
3777,10124,40.71,-73.99
3778,10125,40.71,-73.99
3779,10126,40.71,-73.99
3780,10128,40.78,-73.95
3781,10129,40.71,-73.99
3782,10130,40.71,-73.99
3783,10131,40.71,-73.99
3784,10132,40.71,-73.99
