zipcode,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09
10025,2964.0,2970.0,2995.0,3012.0,3010,2996,2978,2974,3012,3063,3089,3084,3112,3151,3164,3168,3181,3225,3271,3296,3256,3209,3220,3241,3297,3337,3378,3399,3380,3375,3360,3382,3407,3448,3497,3540,3543,3539,3548,3585,3655,3693,3728,3713,3715,3703,3684,3646,3619,3621,3616,3618,3648,3672,3680,3663,3633,3600,3590,3577,3568,3557,3550,3550,3547,3537,3525,3534,3548,3568
10023,3213.0,3182.0,3206.0,3241.0,3267,3290,3285,3286,3299,3331,3362,3351,3344,3333,3310,3336,3374,3444,3463,3475,3436,3425,3451,3489,3556,3599,3609,3582,3550,3555,3560,3596,3644,3709,3827,3911,3975,4010,4052,4061,4069,4038,4082,4080,4094,4048,3992,3934,3898,3911,3959,4028,4100,4114,4084,4039,3980,3929,3913,3877,3848,3839,3824,3816,3794,3789,3797,3843,3894,3937
10002,3092.0,3088.0,3112.0,3111.0,3128,3160,3189,3206,3218,3227,3258,3270,3272,3264,3244,3242,3249,3283,3307,3293,3253,3224,3272,3328,3382,3406,3423,3435,3445,3449,3457,3503,3567,3634,3731,3792,3840,3864,3896,3914,3923,3910,3905,3884,3880,3857,3795,3741,3711,3753,3774,3804,3846,3873,3866,3836,3802,3766,3761,3726,3688,3653,3638,3631,3620,3633,3654,3706,3736,3769
10467,1493.0,1482.0,1489.0,1496.0,1499,1497,1499,1511,1528,1539,1543,1557,1552,1537,1526,1522,1537,1558,1582,1590,1583,1571,1575,1593,1598,1599,1595,1587,1582,1578,1575,1576,1595,1626,1659,1692,1703,1709,1716,1728,1736,1743,1746,1742,1745,1754,1771,1793,1801,1818,1822,1822,1808,1792,1775,1763,1747,1733,1727,1718,1697,1681,1684,1698,1714,1728,1741,1753,1758,1757
11226,1581.0,1584.0,1596.0,1603.0,1611,1610,1623,1624,1632,1639,1661,1679,1697,1718,1736,1757,1773,1807,1828,1849,1846,1849,1859,1889,1928,1963,1976,1982,1989,1988,1988,1999,2018,2026,2027,2014,2008,1997,1996,2014,2027,2031,2024,2033,2060,2085,2101,2094,2088,2099,2108,2119,2127,2143,2153,2155,2152,2150,2172,2178,2182,2177,2174,2161,2149,2140,2142,2146,2158,2180
11375,1665.0,1658.0,1662.0,1685.0,1707,1725,1741,1750,1746,1730,1709,1710,1721,1741,1752,1765,1777,1796,1818,1835,1851,1864,1876,1898,1932,1964,1979,1980,1987,2004,2024,2065,2103,2151,2176,2181,2171,2168,2182,2194,2182,2170,2157,2147,2163,2186,2213,2231,2246,2245,2248,2245,2254,2245,2235,2216,2194,2170,2151,2146,2145,2149,2151,2159,2166,2167,2160,2149,2135,2115
10016,3127.0,3101.0,3115.0,3126.0,3155,3167,3174,3186,3231,3270,3290,3261,3248,3248,3231,3234,3253,3326,3368,3368,3307,3281,3327,3372,3432,3464,3490,3499,3497,3488,3486,3508,3544,3577,3670,3747,3820,3847,3872,3889,3897,3884,3887,3875,3880,3855,3784,3709,3668,3722,3762,3799,3832,3836,3815,3791,3762,3735,3734,3706,3676,3648,3627,3615,3597,3598,3610,3656,3694,3733
11235,1624.0,1625.0,1639.0,1639.0,1642,1636,1645,1660,1677,1684,1678,1676,1690,1717,1731,1744,1755,1778,1800,1815,1813,1798,1787,1789,1812,1842,1865,1888,1908,1913,1911,1918,1946,2000,2056,2081,2068,2043,2042,2063,2079,2102,2120,2130,2135,2132,2140,2143,2155,2169,2179,2187,2202,2211,2212,2207,2203,2202,2213,2225,2240,2255,2263,2262,2251,2235,2224,2223,2232,2246
10009,3169.0,3138.0,3131.0,3142.0,3160,3183,3183,3190,3215,3248,3277,3261,3262,3267,3253,3232,3217,3261,3299,3295,3243,3212,3267,3317,3366,3401,3428,3443,3445,3448,3464,3515,3584,3672,3817,3929,4024,4060,4104,4146,4179,4161,4143,4103,4085,4019,3897,3795,3739,3780,3817,3864,3921,3955,3960,3953,3928,3898,3905,3878,3847,3810,3785,3765,3747,3751,3774,3832,3881,3918
10029,2611.0,2607.0,2596.0,2565.0,2553,2552,2562,2566,2592,2628,2637,2617,2593,2592,2622,2677,2711,2713,2673,2657,2655,2660,2662,2677,2709,2739,2756,2778,2806,2818,2801,2775,2771,2793,2820,2845,2873,2911,2935,2934,2942,2953,2990,3029,3036,3019,3033,3043,3057,3031,3026,3016,3013,3027,3050,3046,3021,3001,2998,2997,2993,3001,3007,3006,2999,2999,3015,3029,3031,3032
