date,time,lat,lon,LEVEL_FELONY,LEVEL_MISDEMEANOR,LEVEL_VIOLATION,zipcode
08/26/2017,16:50:00,40.807353907,-73.937545307,0,0,1,10035
06/23/2017,10:45:00,40.735692134000004,-73.97569176100001,1,0,0,10010
06/20/2017,11:20:00,40.759767913000005,-73.984970706,0,1,0,10036
04/03/2017,23:30:00,40.644893971,-74.08833702300001,1,0,0,10301
05/12/2017,14:20:00,40.807199186,-73.918353502,0,1,0,10454
02/02/2017,10:30:00,40.760399690999996,-73.989345547,1,0,0,10036
08/17/2017,04:00:00,40.812916573,-73.888943752,0,1,0,10474
07/28/2017,19:50:00,40.750265942,-73.987860187,1,0,0,10001
07/11/2017,13:30:00,40.691464909000004,-73.987348023,0,1,0,11201
03/08/2017,17:00:00,40.621365505,-73.927136052,1,0,0,11234
07/05/2017,08:30:00,40.692435469,-73.951976155,0,1,0,11205
02/16/2017,09:46:00,40.651698159,-73.868446756,0,1,0,11239
01/25/2017,16:20:00,40.641019308000004,-74.002026477,1,0,0,11220
04/28/2017,18:00:00,40.824494897,-73.912529478,1,0,0,10451
05/30/2017,22:30:00,40.696757658,-73.90611921,0,1,0,11385
06/10/2017,10:00:00,40.885059625,-73.836792709,1,0,0,10466
07/26/2017,14:00:00,40.68213942,-73.819110438,0,0,1,11420
05/22/2017,00:01:00,40.738878925,-73.810357188,0,1,0,11365
08/17/2017,19:00:00,40.842891864,-73.883613361,0,1,0,10460
02/11/2017,13:20:00,40.752944541,-73.985488376,0,1,0,10018
04/19/2017,20:00:00,40.890074824,-73.85583354100001,1,0,0,10466
03/19/2017,13:20:00,40.672233879000004,-73.880335048,0,1,0,11208
01/08/2017,02:00:00,40.576835220999996,-73.965097754,0,1,0,11235
03/31/2017,17:00:00,40.629404025,-73.97800013199999,1,0,0,11230
03/18/2017,02:05:00,40.7986333,-73.941620371,1,0,0,10035
09/16/2017,02:23:00,40.745740074000004,-73.902120062,0,1,0,11377
03/29/2017,12:00:00,40.64070511,-73.982630184,0,1,0,11218
09/14/2017,00:22:00,40.737157085999996,-73.98858066,0,1,0,10003
02/06/2017,22:10:00,40.577191856,-74.00057021,1,0,0,11224
07/12/2017,11:30:00,40.8308724,-73.910938361,1,0,0,10456
07/06/2017,08:00:00,40.59132273,-73.966588025,1,0,0,11223
02/02/2017,00:00:00,40.789636844,-73.943163066,1,0,0,10029
07/03/2017,22:00:00,40.841807039,-73.845630599,0,1,0,10461
08/10/2017,15:30:00,40.66687493,-73.928524599,0,1,0,11213
06/17/2017,23:00:00,40.757774034,-73.79447895,0,0,1,11358
08/13/2017,18:30:00,40.85207601,-73.868607122,0,1,0,10462
03/06/2017,14:30:00,40.671440729000004,-73.745393611,0,1,0,11413
10/18/2016,14:30:00,40.758340151999995,-73.981570773,1,0,0,10036
02/15/2017,09:45:00,40.726821666999996,-73.74149112399999,0,0,1,11427
07/14/2017,18:45:00,40.734143711,-73.86917524100001,1,0,0,11373
09/08/2017,18:00:00,40.688915261,-73.923907115,0,1,0,11221
04/25/2017,11:00:00,40.823180031999996,-73.866536043,0,1,0,10473
04/29/2017,13:45:00,40.660518125,-73.994295807,0,1,0,11215
05/24/2017,15:35:00,40.84105848,-73.89217114899999,0,1,0,10457
07/23/2017,09:50:00,40.680487139,-73.925553583,0,0,1,11233
07/18/2017,14:51:00,40.671859341,-73.937791144,1,0,0,11213
01/18/2017,15:25:00,40.748006952,-73.892559956,0,1,0,11372
08/10/2017,17:30:00,40.862758367,-73.904934062,0,1,0,10468
05/18/2017,14:21:00,40.86045305,-73.861732618,1,0,0,10469
08/01/2013,00:01:00,40.837739758000005,-73.92665333800001,0,1,0,10452
01/30/2017,09:00:00,40.818574182,-73.859431513,0,0,1,10473
03/09/2017,19:27:00,40.830211602,-73.91182094199999,0,1,0,10456
09/29/2017,15:40:00,40.873671035,-73.908013649,0,1,0,10463
08/24/2017,01:00:00,40.709517268,-74.012387773,1,0,0,10006
01/14/2017,14:40:00,40.832678769,-73.895035898,1,0,0,10459
09/13/2017,01:00:00,40.814113161,-73.940855365,0,1,0,10037
07/29/2017,14:00:00,40.684372640999996,-73.88434794300001,0,1,0,11208
05/27/2017,01:35:00,40.630440553,-74.026722622,0,1,0,11209
09/01/2017,19:20:00,40.668975972,-73.870337632,0,1,0,11208
09/01/2017,09:47:00,40.695941268,-73.904667047,1,0,0,11385
04/14/2017,16:30:00,40.770643884,-73.83150965600001,0,1,0,11354
05/19/2017,06:40:00,40.595215716999995,-73.75849232899999,1,0,0,11691
07/05/2017,12:08:00,40.824262039000004,-73.887692718,0,0,1,10459
09/16/2017,08:50:00,40.670666272,-73.95797590800001,0,1,0,11238
07/31/2017,01:55:00,40.798146087,-73.950357672,0,1,0,10026
09/09/2017,14:00:00,40.768436871999995,-73.92467548,0,1,0,11102
09/28/2017,15:00:00,40.611518097,-73.992870129,0,0,1,11204
04/18/2017,12:35:00,40.831224048,-73.854562604,0,1,0,10472
07/06/2017,00:07:00,40.789463299999994,-73.947634004,0,0,1,10029
07/28/2017,19:15:00,40.899198384,-73.858230086,0,1,0,10466
07/27/2017,17:50:00,40.672573954,-73.91018000300001,0,0,1,11212
01/12/2017,16:20:00,40.759871835,-73.982310337,1,0,0,10019
06/01/2017,20:31:00,40.823499964,-73.858618987,0,1,0,10473
01/13/2017,14:00:00,40.689931009,-73.937929338,1,0,0,11221
01/10/2017,19:00:00,40.842831688000004,-73.854754079,0,1,0,10462
05/11/2017,22:15:00,40.674986972,-73.945849231,0,0,1,11213
07/03/2017,11:30:00,40.630637076999996,-74.10519323,0,0,1,10301
03/25/2017,22:00:00,40.552480568,-74.218779074,0,1,0,10309
