LOCCODE,PreK_Type,Borough,LocName,NOTE,phone,address,Postcode,Day_Length,Seats,X,Y,Email,MEALS,Website,INDOOR_OUTDOOR,EXTENDED_DAY,SEMS_CODE,Latitude,Longitude,Community Board,Council District ,Census Tract,BIN,BBL,NTA
K075,DOE,K,P.S. 075 Mayda Cortiella,,718-574-0244,95 Grv St,11221,1,54,1006134,191822,ywillia@schools.nyc.gov,2,http://schools.nyc.gov/schoolportals/32/k075,1,3,32K075,,,,,,,,
K206,DOE,K,P.S. 206 Joseph F Lamb,,718-743-5598,2200 Gravesend Nck Rd,11229,1,36,998543,156874,jhom42@schools.nyc.gov,2,http://schools.nyc.gov/schoolportals/22/k206,3,3,22K206,,,,,,,,
K225,DOE,K,P.S. K225 - The Eileen E Zaglin,,718-743-9793,1075 Ocean Vw Ave,11235,1,66,996443,150554,MCosmai@schools.nyc.gov,3,http://schools.nyc.gov/schoolportals/21/k225,2,3,21K225,,,,,,,,
K272,DOE,K,P.S. 272 Curtis Estabrook,,718-241-1300,101 - 24 Seaview Ave,11236,1,64,1015842,170884,hpinckney@schools.nyc.gov,2,http://schools.nyc.gov/schoolportals/18/k272,3,1,18K272,,,,,,,,
KAAE,NYCEEC,K,Adelphi Academy Of Brooklyn,,718-238-3308,8515 Rdg Blvd,11209,1,36,975045,166820,romanosi@adelphinyc.org,5,,9,3,20KAAE,,,,,,,,
KAET,NYCEEC,K,Dimitrios & Georgia Kaloidis P.S. Of Holy Cross Goc,,718-836-8096,8502 Rdg Blvd,11209,1,72,974876,166906,,2,http://dgkschool.com,3,2,20KAET,,,,,,,,
KAHX,NYCEEC,K,Gateway City Academy,,718-921-3737,257 Bay Rdg Ave,11220,1,143,976810,171036,gca@gatewaycityacademy.net,5,http://gatewaycityacademy.net,9,3,20KAHX,,,,,,,,
KAWQ,NYCEEC,K,Macademy,,718-221-5566,1313 Un St,11225,1,18,998505,183018,qkmacademy@aol.com,5,http://macademytech.org,8,1,17KAWQ,,,,,,,,
KBCZ,NYCEEC,K,Pine Street Day Care,,718-235-1150,872 - 874 Cres St,11208,2,78,1020888,181987,pinestreetdaycarecenter@verizon.net,5,,9,3,19KBCZ,,,,,,,,
KBDC,NYCEEC,K,Cypress Hills CCC,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,718-647-5005,108 Pne St,11208,1,38,1019317,188487,Jeromebass@yahoo.com,3,http://cypresshillschildcare.org,7,1,19KBDC,,,,,,,,
KBJO,NYCEEC,K,"Yeled V'Yalda ECC, Inc.",,718-854-6922,1349 / 53 50th St,11219,3,44,986692,170199,Sschwartz@yeled.org,3,,3,1,20KBJO,,,,,,,,
KBMP,NYCEEC,K,Bay Ridge CCC,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,718-768-5030,314 - 44th St,11220,1,60,981212,176356,Bayridgechildcare@twcmetrobiz.com,3,,8,2,15KBMP,,,,,,,,
KBPJ,NYCEEC,K,Recreation Rooms And Settlement Starrett Early Learning,,718-642-8724,125 Schrooeders Ave,11239,1,20,1017280,175475,ssippy@aol.com,7,,8,1,19KBPJ,,,,,,,,
KBSC,NYCEEC,K,New Life CDC 3,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,718-417-4214,408 Grv St,11237,1,58,1008501,194797,newlifedc2@verizon.net,3,,7,1,32KBSC,,,,,,,,
KBVB,NYCEEC,K,New Life CDC 2,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,718-366-1668,406 Grv St,11237,1,78,1008455,194743,NEWLIFEHEADSTART@AOL.COM,3,,2,1,32KBVB,,,,,,,,
KCOX,NYCEEC,K,Little Hands And Feet School,,718-680-5437,1270 Bay Rdg Pkwy,11228,1,13,982011,165313,soos016@aol.com,5,http://littlehandsandfeetdaycare.com,9,3,20KCOX,,,,,,,,
M046,DOE,M,P.S. 046 Arthur Tappan,,212-360-1519,2987 Frederick Dgls Blvd,10039,1,54,1001975,242268,gyoung@schools.nyc.gov,2,http://schools.nyc.gov/schoolportals/05/m046,3,3,05M046,,,,,,,,
M140,DOE,M,P.S. 140 Nathan Straus,,212-677-4680,123 Rdg St,10002,1,18,988831,201263,ebarrie@schools.nyc.gov,3,http://schools.nyc.gov/schoolportals/01/m140,7,1,01M140,,,,,,,,
MALF,NYCEEC,M,Prince Hall Colonial Park DCC,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,212-281-1444,159 - 30 Harlem Riv Dr,10039,1,11,1001937,242787,darren.m.morton@gmail.com,5,,9,3,05MALF,,,,,,,,
MBGQ,NYCEEC,M,CCLC At 4 NY Plaza,,212-513-7367,4 Newyork Plz Suite 104,10004,1,31,981192,195283,Lpacheco@cclc.com,7,http://cclc.com,6,1,02MBGQ,,,,,,,,
Q040,DOE,Q,P.S. 040 Samuel Huntington,,718-526-1906,109 - 20 Un Hall St,11433,1,36,1042210,192244,abranke@schools.nyc.gov,2,http://schools.nyc.gov/schoolportals/28/q040,3,3,28Q040,,,,,,,,
Q071,DOE,Q,P.S. 071 Forest,,718-821-7772,62 - 85 Frst Ave,11385,1,80,1010585,198453,isoto6@schools.nyc.gov,5,http://schools.nyc.gov/schoolportals/24/q071,9,3,24Q071,,,,,,,,
Q078,DOE,Q,P.S. / I.S. 78q,,718-392-5402,48 - 09 Ctr Blvd,11109,1,36,996037,210512,lpavone@schools.nyc.gov,2,http://schools.nyc.gov/schoolportals/30/q078,3,3,30Q078,,,,,,,,
